
Notes [1]:
"Notes"

"Annual figures are calculated as entries plus exits, weighting weekdays by 253, Saturdays by 52 and Sundays by 59."
"This weighting is based on the assumption that 7 Bank-holidays are represented by 7 Sundays"
"and grossing up to a 364 day year excluding Christmas Day. "
"This adjustment does not change from year to year depending on when the Bank Holidays are "
"but is used as an annual factor for comparing one year with another"

"The data is from files En11WEEK.xls etc."

"Columns D to I are counts for one typical day for the whole traffic day."
"Column J is the annual total in millions."

"Total exits for the system should equal total entries."
"They do not because of inaccuracies in the counts and because counts take place on different days:"
"also some counts include NR passengers."


"Transport Planning - Strategy & Commercial"

"March-2012"

2011 Entry & Exit [2]:
"COUNTS - 2011 - annual entries & exits"
"(C) Copyright, London Underground Limited, 2012"

,,"[ Weights",253,52,59,253,52,59,"]",,
"Counts by station",,,,,,,,,"Annual"
" ",,,"Entry","Entry","Entry","Exit","Exit","Exit","Entry + Exit"
"nlc","Station","Note","Weekday","Saturday","Sunday","Weekday","Saturday","Sunday","million",,
754,"Westbourne Park                    "," ",5637,2443,1697,4660,2091,1566,3.03
761,"Westminster                        "," ",30455,28860,21300,30719,27225,19091,20.78
764,"White City                         "," ",12917,7414,4577,12614,6909,4476,7.74
763,"Whitechapel                        "," ",20752,11160,8006,20952,10918,7646,12.62
765,"Willesden Green                    "," ",12661,9314,6289,11744,8043,6158,7.81
766,"Willesden Junction                 ","A",6318,4333,2356,6340,3980,2462,3.92
767,"Wimbledon                          ","A",19659,12997,8862,17574,11766,8785,11.75
768,"Wimbledon Park                     "," ",3358,2296,1295,3079,1904,1247,2.00
770,"Wood Green                         "," ",17799,14524,10077,16736,13337,9611,11.35
599,"Wood Lane                          "," ",5246,3288,2194,5766,4230,2228,3.44
769,"Woodford                           "," ",8718,5977,3422,6893,4869,3037,4.89
771,"Woodside Park                      "," ",4466,2517,1616,4304,2583,1802,2.69
" ",,,,,,,,,
,"Total",,4081894,2852639,1917740,4006303,2771384,1855720,2561.40
,,
,,,,,,,,,

workings [3]:
,,,,,,,,,,,,,,,,,,,"Answer exits"
,,,,,,,,,,,,,,,,,,,"Saturday","Sunday"

,,,,,,,,,,,,,"paste special",,"edit out #N/A",,,,"R&S paste special"
,,,"Sat - exits",,,,,"Sun - exits",,,,,"last two columns",,"change W&C",,"ENTRIES","ENTRIES","P&Q skip blanks"
,,,,,,,,,,,"Saturday","Sunday","Saturday ","Sunday","Saturday ","Sunday","Saturday ","Sunday",,,"last time","last time","chk","chk"
"Acton Town",0,,5027,,"Acton Town",0,,4410,,"Acton Town",5027,4410,5027,4410,5027,4410,6174,4516,5027,4410,5027,4410,0,0
"Aldgate",0,,2001,,"Aldgate",0,,1845,,"Aldgate",2001,1845,2001,1845,2001,1845,1996,1700,2001,1845,2001,1845,0,0
"Aldgate East",0,,3819,,"Aldgate East",0,,4807,,"Aldgate East",3819,4807,3819,4807,3819,4807,4878,5305,3819,4807,3819,4807,0,0
"Alperton",0,,2378,,"Alperton",0,,1733,,"Alperton",2378,1733,2378,1733,2378,1733,2504,1771,2378,1733,2378,1733,0,0
"Angel",0,,17165,,"Angel",0,,7826,,"Amersham",0,0,,,,,1699,1072,1699,1072,1699,1072,0,0
"Archway",0,,6267,,"Archway",0,,4349,,"Angel",17165,7826,17165,7826,17165,7826,15582,7888,17165,7826,17165,7826,0,0
"Arnos Grove",0,,3606,,"Arnos Grove",0,,2331,,"Archway",6267,4349,6267,4349,6267,4349,7726,4790,6267,4349,6267,4349,0,0
"Arsenal",0,,3320,,"Arsenal",0,,1989,,"Arnos Grove",3606,2331,3606,2331,3606,2331,4043,2380,3606,2331,3606,2331,0,0
"Baker Street",0,,21734,,"Baker Street",0,,15667,,"Arsenal",3320,1989,3320,1989,3320,1989,2993,1761,3320,1989,3320,1989,0,0
"Balham",0,,9066,,"Balham",0,,5548,,"Baker Street",21734,15667,21734,15667,21734,15667,22544,16588,21734,15667,21734,15667,0,0
"Bank",0,"X",6567,,"Bank",0,"X",2914,,"Balham",9066,5548,9066,5548,9066,5548,9330,5420,9066,5548,9066,5548,0,0
"Bank",0,"W",2229,,"Bank","na","WN",0,,"Bank",6567,2914,6567,2914,6567,2914,6473,2621,6567,2914,6567,2914,0,0
"Barbican",0,,6291,,"Barbican",0,,4116,,"Bank",6567,2914,6567,2914,2229,0,2283,0,2229,0,2229,0,0,0
"Barking",0,,7881,,"Barking",0,,4310,,"Barbican",6291,4116,6291,4116,6291,4116,6448,4012,6291,4116,6291,4116,0,0
"Barkingside",0,,333,,"Barkingside",0,,155,,"Barking",7881,4310,7881,4310,7881,4310,8140,4478,7881,4310,7881,4310,0,0
"Barons Court",0,,4719,,"Barons Court",0,,2939,,"Barkingside",333,155,333,155,333,155,370,161,333,155,333,155,0,0
"Bayswater",0,,12380,,"Bayswater",0,,10052,,"Barons Court",4719,2939,4719,2939,4719,2939,5608,3321,4719,2939,4719,2939,0,0
"Becontree",0,,55,,"Becontree",0,,9,,"Bayswater",12380,10052,12380,10052,12380,10052,12675,10803,12380,10052,12380,10052,0,0
"Bermondsey",0,,2725,,"Bermondsey",0,,1947,,"Becontree",55,9,55,9,55,9,57,6,55,9,55,9,0,0
